title;text;img
"Agate"; "Small type (usually 5.5 point) used for sports statistics, stock tables, classified ads, etc.";icon-img-placeholder.svg
"Air"; "White space used in a story design.";icon-img-placeholder.svg
"All caps"; "Type using only capital letters.";icon-img-placeholder.svg
"Amberlith"; "An orange plastic sheet, placed over a pasted-up page, that contains shapes that the printer needs to screen, overprint or print in another color.";icon-img-placeholder.svg
"Anchor"; "White space used in a story design.";icon-img-placeholder.svg
"Bumping/butting heads "; "Headlines from adjacent stories that collide with each other. Should be avoided when possible. Also called tombstoning.";icon-img-placeholder.svg
